,Unnamed: 0,Nid,ISBN,description,Title,Author,Lib Note,What is the story about?/What happened in the story?,Who is your favorite character in the story? Why?,Why did you decide to read this book? Did a friend suggest it? Did it have an interesting cover?,Why did you like this story? or Why did you not like this story?,Other thoughts or feelings about this story? Anything else to add?,Rate Your Read,Reviews Titles,Your Age,UserID,emotion_emoData
130,130,68900,375829067,"Fourteen-year-old Keladry of Mindelan is not your average squire. For one thing, she's a girl. For another, she's almost six feet tall. And most important of all, her ability to pass the Ordeal that soon confronts her may determine her kingdom's future. When Kel is chosen by the legendary Lord Raoul to be his squire, the conservatives of the realm hardly think she’s up to the job. Kel earns respect and admiration among the men, as well as the affection of a fellow squire.",Protector of the Small: Squire,Tamora Pierce,,"the book is about a girl who became a page and then a squire.  A girl named Kel and her friends who are squires come upon a hill bandit camp during their  summer camp in the woods with Lord Wyldon the training master and other squires.  Later, Kel is put in charge of the company of the King's Own that Neil of Queenscove's cousin Dom is in charge of when Dom gets hurt during a fight with Scanrans. ",,i wanted to finish the series.,i liked this book because it is a good adventure story.,,5/5,Squire,9.0,103.0,
131,131,68899,545682908,"When Maria inherits a strange, spider-shaped ring from her grandmother, she doesn't realize she's also inheriting a strange power -- the power to control spiders and have them do whatever she wants. This is a pretty cool thing when it comes to fetching objects from another room . . . or if Maria wants to use the spiders to get back at some mean kids in her class. But the power comes with a price. Maria has attracted the attention of the Black Widow -- who is trying to collect all the spider magic for herself. The Black Widow is not going to let anything stand in her way -- especially not Maria. The story of the ring is being woven like a web -- and Maria is going to have to do everything she can to not get trapped within it.",The Spider Ring,Andrew Harwell,,"The story is about these spider rings that control spiders. Maria, the main character, has one of them along with her Grandma's friend. The Black Widow, the main villain, has six of the rings and is trying to collect them all, and doesn't let anyone stand in her way.",,My sister shoved it into my hands and I decided to read it.,"I have mixed emotions about this book. I now have a little bit of arachnophobia and i freak out when I see rings with spiders on them. But I like it because it has a unique plot that I barely see anymore, not to mention the Titanic-ish ending of the book.",,4/5,The Spider Ring,11.0,104.0,
132,132,68898,9781879794863,"Shadow the Hedgehog, an artificially-created life form, travels across time
and space on his first mission for the Guardian Units of the Nation.","Sonic Universe. 1, The Shadow Saga",Various Authors,,"In one story, Blaze the Cat and Marine the Raccoon help Shadow.  In the other story, Shadow and Sonic team up to destroy a lazer cannon.",,"I like the Sonic the Hedgehog game series. One of the characters, Shadow, sparked interest.  I read this comic book because I was interested.","I liked this book because a) it centered on my favorite character ever, b) it had a great story line, c) it referenced the video games (Sonic Rush Adventure and Sonic Adventure 2) d) It was funny.  At one point, Marine says that she lied about the story she made.  Shadow's reaction is comedy GOLD, and, finally, e) It had great art","This great book is a comic book about the Sonic the Hedgehog character, Shadow the Hedgehog.",5/5,"Sonic Universe. 1, The Shadow Saga",12.0,105.0,
133,133,68897,9780448458724,"Documents the rags-to-riches story of Harry Potter author J.K. Rowling,
tracing the inspiration for her famous series and her lifelong love of
literature. Original.",Who Is J.K. Rowling,Pam Pollack and Meg Belviso,,The story was about how she had an idea of a boy and she wrote a book about it and made many books about it.,,"I decided to read this book because I like history. No, a friend did not suggest it. No, it didn't have an interesting cover.",I like this story because I like history.,I do not have any thoughts or feelings about this story. ,5/5,Who is J.K. Rowling?,7.0,106.0,
134,134,68896,440403278,"Ten-year-old Annemarie Johansen and her best friend Ellen Rosen often think of life before the war. It's now 1943 and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching through town. When the Jews of Denmark are ""relocated,"" Ellen moves in with the Johansens and pretends to be one of the family. Soon Annemarie is asked to go on a dangerous mission to save Ellen's life.",Number the Stars ,Lois Lowry,,This book was about Hitler and the Jewish people. A  little girls friend was Jewish so her friend hides her and her parents go somwhere else so they would be safe.,,"I read this book for class. Yes,it had an interesting cover.","I liked it because I like nonfiction books and I like history. I also like it because i like learnng about the past, or the old times.",My other thoughts or feelings are I would suggest this book to older kids because Its a little scary for yonger kids.,5/5,Number the Stars,10.0,107.0,
135,135,68895,9781467713290,"Asian elephants and Mexican long-nosed bats are two examples of endangered
mammals. Few of them exist in the wild. Other mammals have already gone
extinct. What hurts these animals? What can you do to help? Read this book
to find out!",Endangered and Extinct Mammals,Jennifer Boothroyd,,"It talks about how animals are getting extinct and how people don't take care of the world because people litter,hunt,and pollution is in the air.",,"I decided to read this book so I could learn about endangered animals. Because I love animals and when I was little I used to have a lot of pets .And I looked after them and fed,played, and did all sorts of things with my pets so that's why I read this book.
","I liked this story because I like documentary books that tell about animals because it has a lot of interesting parts in it and it teaches kids not to litter and help the world by keeping the air,water, and land clean.","It's very helpful for kids, teens, and adults to learn about endangered animals and how they can get off that couch and plant a tree pick up trash recycle things and go to a zoo and see other wildlife animals.",5/5,Endangered and Extinct Mammals,9.0,108.0,
136,136,68891,9780545484961,"Movies and magic -- a winning combination! A real Hollywood blockbuster is filming in Kirsty's town, and Rachel and Kirsty get to play extras! It's like a dream come true . . . until Jack Frost's goblins steal Kiera the Movie Star Fairy's three magic items. Unless Kirsty and Rachel can get them back, movies everywhere will be doomed!",Keira the movie star fairy,Daisy Medows,"Find more Rainbow Magic Fairy books in the First Chapter Book Section under the author's last name, Meadows.","Rachel and Kristy get to be in a movie. Then Keira shows up  and Rachel, Kristy , and Keira finds the three magic things the silver script, the megaphone , and the magic  clapboard. Then Keira goes home. Finally Rachel and Kristy are in the movie.",,The cover looked really interesting and I like the Rainbow Magic series besides this book is a special edition.,I liked this story because I love the mystery theme to the book.,To add to this story is that Rachel and Kristy watch the movie with Mr. and Mrs. Tate and Mr. and Mrs. Walker.,5/5,Keira the Movie Star Fairy,9.0,109.0,
137,137,68892,1481431331,"Mia moves from the shadows to the spotlight when her matchmaking plans go awry in this contemporary M!X novel from the author of 30 Days of No Gossip. Mia is used to feeling overlooked: her perfect older sister gets all the attention at home, and the popular clique at school are basically experts at ignoring her. So when it’s time for the annual Student Council chocolate rose sale, Mia is prepared to feel even worse. Because even though anyone can buy and send roses to their crushes and friends, the same (popular) people always end up with roses while everyone else gets left out. Except a twist of fate puts Mia in charge of selling the roses this year—and that means things are going to change. With a little creativity, Mia makes sure the kids who usually leave empty-handed suddenly find themselves the object of someone’s affection. But her scheme starts to unravel when she realizes that being a secret matchmaker isn’t easy—and neither is being in the spotlight.",25 roses,Stephanie Faris,,A girl who was trying to win her grade a lock in at Sports Plex by selling chocolate roses.,,I saw it on a shelf and it had an interesting cover. So I read it.,I liked it because it was the kind of book I like to read; realistic fiction.,,4/5,25 Roses,9.0,110.0,
138,138,68894,9781416975311,"In Trading Faces, identical twin sisters Emma (the smart one) and Payton (the popular one) start seventh grade at a brand-new school and discover they’ve been assigned entirely different schedules—so when they get sick of their respective cliques, they secretly switch places. What ensues is a hilarious yet poignant romp from middle school to the mall as the twins learn what it means to be true to yourself, even when the rest of the world isn’t making it easy.",Trading Faces,Julia DeVillers,,2 twins switch places for popularity and for math,,it had a really interesting title ,I liked it it gave me feelings I never experienced in my life,no not really,5/5,Trading Faces,10.0,111.0,
139,139,68893,439064864,"Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike. And strike it does. For in Harry’s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girls’ bathroom. But then the real trouble begins – someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possible be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects… Harry Potter himself!",Harry Potter and the Chamber Secrets,J.K Rowling,,"in the story Hogwarts is being attacked and no one knows who or what it is. Then harry finds a diary from Tom Riddle and he tells him about the chamber of secrets. Hermione finds the most deadliest creature and another clue from Ron that the creature in the camber is a the most deadliest creature (forgot the name) so then they go to the moaning mrtle and ask her how she died. She said that died in the stall because she saw something with yellow eyes and died instantly. Then they figured out that the sink in front of the stall was the enterance to the chamber of secrets where the creature lived. After they found the chamber Ginny and Voldemort. Also when Harry was trying to defeat the creature when Dumbldore came in shaped as a phenix and helped him and Ginny. Then they went to tell that now it was safe.
",,I choose it because my friends kept telling me the book was good.,I liked it because e it was adventureus.,I hope that J.K Rowling will contiue the series with Voldemort son or something. ,5/5,Harry Potter and the Chamber of Secrets,10.0,112.0,
140,140,68890,9780060293239,"One of the true classics of American literature, The Wonderful Wizard of Oz
has stirred the imagination of young and old alike for over four
generations. Originally published in 1900, it was the first truly American
fairy tale, as Baum crafted a wonderful out of such familiar items as a
cornfield scarecrow, a mechanical woodman, and a humbug wizard who used
old-fashioned hokum to express that universal theme, ""There's no place like
home."" Follow the adventures of young Dorothy Gale and her dog, Toto, as
their Kansas house is swept away by a cyclone and they find themselves in a
strange land called Oz. Here she meets the Munchkins and joins the
Scarecrow, Tin Woodman, and the Cowardly Lion on an unforgettable journey
to the Emerald City, where lives the all-powered Wizard of Oz. This
lavishly produced facsimile of the rare first edition contains all 24 of W.
W. Denslow's original color plates, the colorful pictorial binding, and the
130 two-color illustrations that help make The Wonderful Wizard of Oz so
special and enduring.",Wizard of OZ,L. Frank Baum,,"The story is about a girl named Dorothy. She is caught in a cyclone.  Her house lands in a land owned by Oz.  She sets off to the Emerald City.  Along her way, she meets a scarecrow, a tin woodman, and a lion.  Dorothy has to kill the Wicked Witch of the West before she can go home.  Finally, she kills the witch and goes home.     ",,My friend Miley suggested for me to read it. ,I liked this story because it shows a child's bravery & strength.    ,Nothing else.,5/5,The Wonderful Wizard of Oz,8.0,93.0,
141,141,68889,9780307594006,"An uncut edition of Anne Frank's diary includes entries originally omitted
by her father and provides insight into Anne's relationship with her
mother.",Anne Frank: The Diary of a Young Girl ,Anne Frank,,"She, her family, another family and a dentist had to hide from the Nazis for two years. In the end, they were forced he and taken to concentration camps, where they all died except for Anne's father. He published Anne's diary for her.",,I got into it after I went to an exhibit about her at a museum. I decided to read her diary after that experience because she inspired me. It's been my favorite book ever since.,"I liked this book because it's an important document and tells the story of a 13, 14, then 15-year-old girl who, despite the horrors of Nazi Germany and WWII, stayed human and had hopes for the end of the war.",It is one of my favorite books of all time!!! I love it with all my heart and soul!,5/5,The Diary of a Young Girl,11.0,113.0,
142,142,68888,9780804168120,"Jason Segel, multitalented actor, writer, and musician, teams up with New York Times bestselling author Kirsten Miller for the hilariously frightening, middle-grade novel Nightmares!, the first audiobook in a trilogy about a boy named Charlie and a group of kids who must face their fears to save their town. Sleeping has never been so scary. And now waking up is even worse! Charlie Laird has several problems. 1. His dad married a woman he is sure moonlights as a witch. 2. He had to move into her purple mansion, which is NOT a place you want to find yourself after dark. 3.He can't remember the last time sleeping wasn't a nightmarish prospect. Like even a nap. What Charlie doesn't know is that his problems are about to get a whole lot more real. Nightmares can ruin a good night's sleep, but when they start slipping out of your dreams and into the waking world--that's a line that should never be crossed. And when your worst nightmares start to come true...well, that's something only Charlie can face. And he's going to need all the help he can get, or it might just be lights-out for Charlie Laird. For good.",Nightmares,Jason Segel and Kirsten Miller,,The story is about a young kid named Charlie Laird who keeps having nightmares about a witch who wants to lock him in a cage. His is certain that his stepmother is working for the witch because of the similarities that they share.,,"My sister said that it was an amazing book, so she kind of forced me to read it.","I loved the story, it was well thought out and was a page turner. I had a good plot with creative characters.","There is some heartbreaking stuff in the story, like one of my favorite characters ""dies"" (he doesn't really die, he goes to this place called the dream realm, hard to explain).",5/5,Nightmares!,11.0,104.0,
143,143,68887,9781609589516,"When Grace learns that her grandparents' bakery might be closing after 30 years, she's crushed. She can't imagine her life (or her hometown) without the bakery. And how can her own business survive if the one that inspired her cannot? Grace wonders if she and her friends can find a way to help the bakery using their talents and newfound business skills. Can three girls really make a difference? Grace is determined to try.",Grace Makes it Great,Mary Casanova,,Grace and her friends help save Grace's grandparents' bakery.,,I read the 2nd book of Grace and I enjoyed it so I read this book of Grace.,I liked the story because it had a mini french dictionary in it.,I t was the last book of the Grace series.,5/5,Grace Makes It Great,8.0,114.0,
144,144,68885,9780061781261,"When Pinkalicious and Peter decide to visit their favorite park, they find
that it's no longer their favorite place—the park is now filled with stinky
trash! Pinkalicious has an idea and makes an extra-special wand out of a
stick and some flowers. Now whenever Pinkalicious makes a wish, adds a
little love, and recites a pinkatastic rhyme, something amazing happens:
Everything turns greenerrific! Join Pinkalicious as she turns an ordinary
place into an Emeraldalicious world! Kids will love this colorful picture
book with a message about doing our part to keep our world clean and
beautiful. Supports the Common Core Learning Standards",Emeraldalicious,victoria kann,,"The story is about a girl named Pinkalicous she has a brother named Peter. In the beginning Pinkalicous tripped on a rock and broke her wand then Peter gave Pinkalicious some things to make a new one. 
In the middle they found a garbage dump and they found out that the wand was magical. It made wishes when you asked for it with love and you made a rythem out of it. Then some of the trash would be uesd.  Then Pinkalicious asked for the dump to be pretty again  and it happened. In the end there was a storm and they lost the wand but they got seeds instead.                                                                                                                                                     ",, I liked Pinkalicous books and i heard there was a new one coming soon.I never got to read it.Then i found it in the library and i borrowed it. I read it right away.                                  ,I liked it because they where recycling. And i didn't like it because they didn't do alot of the work but i think if the story went on they would ues teamwork.                                            ," I liked the pictures. 
                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",4/5,Emeraldalicious,7.0,115.0,
145,145,68884,545132053,"Raina just wants to be a normal sixth grader. But one night after Girl Scouts she trips and falls, severely injuring her two front teeth, and what follows is a long and frustrating journey with on-again, off-again braces, surgery, embarrassing headgear, and even a retainer with fake teeth attached. And on top of all that, there’s still more to deal with: a major earthquake, boy confusion, and friends who turn out to be not so friendly. This coming-of-age true story is sure to resonate with anyone who has ever been in middle school, and especially those who have ever had a bit of their own dental drama.",smile,raina telgemeier,,RAINA lost her two teeth,,my classmates read it,when she lost her two teeth she had blood coming down,she had a boyfriend named SEAN,5/5,Smile,9.0,116.0,
146,146,68881,60507063,Ms. Hannah wears dresses made out of potholders and collects garbage instead of throwing it out. Plus she's making A.J. be partners with smelly Andrea. This is the worst art class ever!,Ms. Hannah is Bananas!,Dan Gutman,"Find more books in the 'My Weird School' series in the First Chapter Book section under the author's last name, Gutman!","AJ, his friends, and Emily and Andrea learn that art is everywhere.",,Because I like Dan Gutman's books.,I liked it because it was about art.,,3/5,Ms. Hannah is Bananas!,7.0,117.0,
147,147,68883,9780062104182,"When three hungry dinosaurs lay a trap hoping to catch something to eat,
Goldilocks who never listens to warnings, walks into their house and
springs the trap.",Goldilocks and the Three Dinosaurs,Mo Willems,,"The dinosaurs were at the house. There was a mom, and a dad, and a little dinosaur that was visiting. Goldilocks went to the house. She walked through the door. There was this smell that interested her. There was a ladder. She climbed it onto the counter. She started eating the food. She was so full she wanted to sit down. She went into the bedroom but the beds were too big. The dinosaurs were watching in the window. She stopped and thought to run out. The dinosaurs opened up the back door. The end.",,It had an interesting cover. It is by Mo Willems and I like his other stories.,I love this book because it involved dinosaurs.,I was happy.,5/5,Goldilocks and the Three Dinosaurs,6.0,118.0,
148,148,68886,9780679926429,"Remember when it was scary to go to school? With over 50 million books in print, Barbara Park's New York Times bestselling chapter book series, Junie B. Jones, is a classroom favorite and has been keeping kids laughing--and reading--for over 20 years! In the 1st Junie B. Jones book, it's Junie B.'s first day and she doesn't know anything. She's so scared of the school bus and the meanies on it that when it's time to go home, she doesn't.",Junie B. Jones And The Stupid Smelly Bus,Barbara Parks,,"junie b. jones hates the ""stupid smelly bus""",,i've read it over and over again and its interesting!!!!,i liked this story because interesting it feels like i was in the book.,no,5/5,Junie B. Jones and the Stupid Smelly Bus,10.0,119.0,
149,149,68882,9780545206884,"In July, 1916, Chet Roscow is fascinated by news accounts of the great
white shark said to be attacking people along the New Jersey shore not far
from his home, but when he goes swimming in Matawan Creek he discovers the
truth of the stories.",I survived the shark attacks of 1916,Tarshis Lauren,,"It is about a boy named Chet and he was in New Jersey for the summer he was swimming with his 
when a bull shark attacked.",,I like books about survival,I like books about survival,,4/5,I Survived the Shark Attacks of 1916,9.0,120.0,
150,150,68880,590353403,"Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry. After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry. Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined. Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.",Harry Potter and the Sorcerer's Stone,J. K. Rowling,,"It's about Harry Potter, The Boy Who Lived, fighting Lord Voldemort with his friends to save the wizarding world.",,"My friend suggested it. She was reading it too, so I started reading, and I got super absorbed.","I like this story because I like fantasy, Wizards, Witches, and action. It is very fun to read, but I won't suggest it to under 7 and 8 year olds because it has scary parts, people die, and there's murder.","It's very interesting, and when I first read it(I am rereading the series), I didn't want to stop whenever I have to do something different. I burst through the first book in 2 weeks, and shot through the second(The Chamber of Secrets) in 2 and 1/2 weeks. When I read the first book the second time, I finished it in 1 week",5/5,Harry Potter and the Sorcerer's Stone,9.0,121.0,
151,151,68876,9780545813884,"The Baby-Sitters Club graphic novels -- adapted by #1 New York Times
bestseller Raina Telgemeier, are now available in full colour! Poor Stacey.
She just moved to a new town, is still coming to terms with her diabetes,
and is facing baby-sitting problems left and right. Fortunately, Stacey has
three new friends -- Kristy, Claudia, and Mary Anne. Together they're the
BSC -- and they will deal with whatever's thrown their way . . . even if
it's a rival baby-sitting club!",The Truth About Stacey : A Graphic Novel,Ann M. Martin and Raina Telgemeier,,"Stacey McGill, new girl in Stoneybrook, Connecticut, is coping with a rival baby-sitting club, diabetes, and overprotective parents. When her family schedules some tests with a fad doctor in New York, will Stacey be stuck in his hands? Or will a surprise from a sitting charge's mom change everything?",,"I got it for Christmas, and I love the Baby-sitters Club series, books and graphic novels alike!",I love the Baby-sitters Club books!,It's perfect for preteens and late elementary students looking for a good read.,5/5,The Truth About Stacey [graphic novel],10.0,122.0,
152,152,68875,763619612,"With a simple, witty story and free-spirited illustrations, Peter H. Reynolds entices even the stubbornly uncreative among us to make a mark -- and follow where it takes us. Her teacher smiled. ""Just make a mark and see where it takes you."" Art class is over, but Vashti is sitting glued to her chair in front of a blank piece of paper. The words of her teacher are a gentle invitation to express herself. But Vashti can't draw - she's no artist. To prove her point, Vashti jabs at a blank sheet of paper to make an unremarkable and angry mark. ""There!"" she says. That one little dot marks the beginning of Vashti's journey of surprise and self-discovery. That special moment is the core of Peter H. Reynolds's delicate fable about the creative spirit in all of us.",The dot,Peter H. Reynolds ,,"It's about a girl that didn't know what to draw in her art class. So her teacher told her to draw a dot.
And she ended up being a famous dot painter. If you want to learn more read the book.
",,My teacher read it to me during library at my school.,I like to draw like the main person in the book.,I really enjoy this book and I recommend it to people who like art just like me.,5/5,The Dot,7.0,123.0,
153,153,68874,9780991227808,"Ever wondered what happens when you eat dog kibble? Nine-year-old Tawny
finds out, and thanks to her demanding dog, Dinky, nothing will ever be the
same. Dinky's zany antics will have everyone howling with laughter as Tawny
tries to fulfill his life's dream before her own life goes completely to
the dogs.",Kibble Talk,Cynthia Port,,"Nine-year-old Tawny eats dog food, and now she can talk to dogs. After adjusting to this new talent, she helps her dog Dinky fulfill his fondest dream.",,My mom read it as a read aloud to me and my younger brother and sister.,"I liked it because it was very funny, and I liked seeing Dinky's perspective of things.","The main characters of this book are in fourth grade, but people of all ages will find this book hilarious and fun.",5/5,Kibble Talk,12.0,124.0,
154,154,68873,440403278,"Ten-year-old Annemarie Johansen and her best friend Ellen Rosen often think of life before the war. It's now 1943 and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching through town. When the Jews of Denmark are ""relocated,"" Ellen moves in with the Johansens and pretends to be one of the family. Soon Annemarie is asked to go on a dangerous mission to save Ellen's life.",Number The Stars,Lois Lowry,,It was about a girl who lived during the war in Denmark. She helped her friend hide from German soldiers. ,,I like books about the war. My mom suggested it. My favorite chapter was My Dogs Smell Meat.,"I like it because I like war stories, I liked the detailed and it was adventurous.",Best book I've ever read!!!!!!!!!!!!!,5/5,Number the Stars,9.0,120.0,
155,155,68872,9780545599719,"As a dark force engulfs the land, the fate of Erdas has fallen on the
shoulders of four young strangers who each have forged a rare bond with
their spirit beasts--a bond that gives great powers to all of them.",Spirit Animals: Wild Born,Brandon Mull,"Find more books in the Spirit Animals series in the Juvenile Fiction section, shelved under J Spirit. Many of the books in this series are also available digitally as eBooks!","The story takes place in a land called Erdas, when people turn 10 they get their own spirit animal. the story is about 4 kids, Conor from Eura, Abeke from Nilo, Meilin from Zhong and Rollan from Amaya. they each summon one of the four fallen, Conor has Briggan the wolf, Abeke has Uraza the leopard, Meilin has Jhi the panda, and Rollan has Essix the falcon. they join a group called the greencloaks and they have to travel around getting the gems from the other great beasts before the bad guys do.",,I'm in a book club and this is the book we picked.,I liked that people can get there own spirit animal.,,5/5,"Spirit Animals. 1, Wild Born",11.0,101.0,
156,156,68871,679826424,"Remember when it was scary to go to school? With over 50 million books in print, Barbara Park's New York Times bestselling chapter book series, Junie B. Jones, is a classroom favorite and has been keeping kids laughing--and reading--for over 20 years! In the 1st Junie B. Jones book, it's Junie B.'s first day and she doesn't know anything. She's so scared of the school bus and the meanies on it that when it's time to go home, she doesn't.",Junie B. Jones and the Stupid Smelly Bus,Barbara Park,Find more books all about Junie B. Jones in our First Chapter Books section under J Park.,so... junie b. and may get mad at eachother all the time and may tattletales on junie b. jones all the time and may calls her junie jones.,,it has a interesting cover,"i love them because they are very awesome, funny, and very very interesting.",,5/5,Junie B. Jones and the Stupid Smelly Bus,9.0,125.0,
157,157,68867,9780763607760,"Upon receiving a special dog from her father, Opal's life greatly changes
as the magic of his presence causes old pains to heal and new friendships
to form.",Because of Winn-Dixie,Kate DiCamillo,,The girl adopted a dog and made some unusual friends. ,,my sis read it.,I liked it because I like stories about animals.,no,5/5,Because of Winn-Dixie,8.0,120.0,
158,158,68864,9780062095039,"Amelia Bedelia, America's favorite housekeeper, had a childhood full of
surprises, mischief, and hilarious misunderstandings. In this illustrated
chapter book adventure, just right for fans of Judy Moody and Ivy + Bean,
young Amelia Bedelia piles into the family car and takes a road trip with
her family. This is the third book in the Amelia Bedelia chapter book
series and is just right for newly independent readers ready for a more
challenging vocabulary and books with chapters. Amelia Bedelia takes
everything literally and that leads to all kinds of silly
misunderstandings. Tripping over roads may not be your idea of fun, but for
Amelia Bedelia a road trip is a true adventure! The best-selling and
beloved housekeeper has been making readers laugh for more than fifty
years. Amelia Bedelia has a warm and positive attitude and she has fun with
language, vocabulary, and idioms. The Amelia Bedelia chapter books feature
short, easy-to-read chapters, illustrations throughout, and Amelia
Bedelia's can-do spirit. This is the third book in the chapter book series
featuring the childhood of America's favorite housekeeper. The first book
was called Amelia Bedelia Means Business and the second book was Amelia
Bedelia Unleashed—and you don't have to read them in series order to enjoy
them.",Amelia Bedelia Road Trip!,Herman Parish,,she went on a road trip,,my sis read a book like it.,it was funny.,no,5/5,Amelia Bedelia Road Trip!,8.0,126.0,
